state,county,Barack Obama,Mitt Romney,Other_2012,Total Votes_2012,Winner_2012,Margin_2012,Donald Trump,Hillary Clinton,Other_2016,Total Votes_2016,Winner_2016,Margin_2016,Total_Votes_Percent_Change
Arizona,Gila,7697,13455,376,21528,Mitt Romney,5758,14182,7003,1127,22312,Donald Trump,7179,3.64
Arizona,Graham,3609,8076,170,11855,Mitt Romney,4467,8025,3301,808,12134,Donald Trump,4724,2.35
Arizona,Greenlee,1310,1592,72,2974,Mitt Romney,282,1892,1092,286,3270,Donald Trump,800,9.95
Arizona,La Paz,1880,3714,123,5717,Mitt Romney,1834,4003,1575,373,5951,Donald Trump,2428,4.09
Arizona,Maricopa,602288,749885,24385,1376558,Mitt Romney,147597,747361,702907,117566,1567834,Donald Trump,44454,13.9
Arizona,Mohave,19533,49168,1309,70010,Mitt Romney,29635,58282,17455,4206,79943,Donald Trump,40827,14.19
Arizona,Navajo,16945,19884,506,37335,Mitt Romney,2939,20577,16459,3258,40294,Donald Trump,4118,7.93
Arizona,Pima,201251,174779,6220,382250,Barack Obama,26472,167428,224661,29551,421640,Hillary Clinton,57233,10.3
Arizona,Pinal,44306,62079,1930,108315,Mitt Romney,17773,72819,47892,8835,129546,Donald Trump,24927,19.6
Arizona,Santa Cruz,9486,4235,173,13894,Barack Obama,5251,3897,11690,846,16433,Hillary Clinton,7793,18.27
Arizona,Yavapai,33918,64468,1897,100283,Mitt Romney,30550,71330,35590,7530,114450,Donald Trump,35740,14.13
Arizona,Yuma,18059,23352,542,41953,Mitt Romney,5293,25165,24605,3240,53010,Donald Trump,560,26.36
Arkansas,Arkansas,2455,3897,142,6494,Mitt Romney,1442,3826,1939,447,6212,Donald Trump,1887,-4.34
Arkansas,Ashley,2859,4867,195,7921,Mitt Romney,2008,5338,2408,337,8083,Donald Trump,2930,2.05
Arkansas,Baxter,5172,13688,479,19339,Mitt Romney,8516,14682,4169,915,19766,Donald Trump,10513,2.21
Arkansas,Benton,22636,54646,1975,79257,Mitt Romney,32010,60871,28005,7948,96824,Donald Trump,32866,22.16
Arkansas,Boone,3772,11159,460,15391,Mitt Romney,7387,12235,2926,950,16111,Donald Trump,9309,4.68
Arkansas,Bradley,1449,2134,69,3652,Mitt Romney,685,2164,1317,172,3653,Donald Trump,847,0.03
Arkansas,Calhoun,660,1458,56,2174,Mitt Romney,798,1556,639,74,2269,Donald Trump,917,4.37
Arkansas,Carroll,3696,6125,362,10183,Mitt Romney,2429,6786,3342,630,10758,Donald Trump,3444,5.65
Arkansas,Chicot,2649,1670,42,4361,Barack Obama,979,1716,2350,110,4176,Hillary Clinton,634,-4.24
Arkansas,Clark,3811,4343,255,8409,Mitt Romney,532,4404,3620,502,8526,Donald Trump,784,1.39
Arkansas,Clay,1738,3225,147,5110,Mitt Romney,1487,3781,1199,220,5200,Donald Trump,2582,1.76
Arkansas,Cleburne,2620,8693,334,11647,Mitt Romney,6073,9458,2101,526,12085,Donald Trump,7357,3.76
Arkansas,Cleveland,845,2313,108,3266,Mitt Romney,1468,2462,723,169,3354,Donald Trump,1739,2.69
Arkansas,Columbia,3557,5790,108,9455,Mitt Romney,2233,5456,3140,291,8887,Donald Trump,2316,-6.01
Arkansas,Conway,3005,4514,211,7730,Mitt Romney,1509,4849,2656,422,7927,Donald Trump,2193,2.55
Arkansas,Craighead,10527,20350,823,31700,Mitt Romney,9823,22892,10538,2143,35573,Donald Trump,12354,12.22
Arkansas,Crawford,4881,15145,565,20591,Mitt Romney,10264,16686,4488,1276,22450,Donald Trump,12198,9.03
Arkansas,Crittenden,9487,6998,231,16716,Barack Obama,2489,6964,8410,578,15952,Hillary Clinton,1446,-4.57
Arkansas,Cross,2279,4269,133,6681,Mitt Romney,1990,4584,1999,291,6874,Donald Trump,2585,2.89
Arkansas,Dallas,1337,1665,82,3084,Mitt Romney,328,1509,1165,97,2771,Donald Trump,344,-10.15
Arkansas,Desha,2443,1896,81,4420,Barack Obama,547,1919,2228,110,4257,Hillary Clinton,309,-3.69
Arkansas,Drew,2630,3887,116,6633,Mitt Romney,1257,3968,2365,262,6595,Donald Trump,1603,-0.57
Arkansas,Faulkner,13621,26722,1117,41460,Mitt Romney,13101,29346,14629,3552,47527,Donald Trump,14717,14.63
Arkansas,Franklin,1726,4631,183,6540,Mitt Romney,2905,5039,1376,355,6770,Donald Trump,3663,3.52
Arkansas,Fulton,1452,2949,121,4522,Mitt Romney,1497,3471,1067,234,4772,Donald Trump,2404,5.53
Arkansas,Garland,13804,26014,910,40728,Mitt Romney,12210,26087,12311,2407,40805,Donald Trump,13776,0.19
Arkansas,Grant,1468,4829,182,6479,Mitt Romney,3361,5725,1373,347,7445,Donald Trump,4352,14.91
Arkansas,Greene,4000,9071,690,13761,Mitt Romney,5071,10720,3071,809,14600,Donald Trump,7649,6.1
Arkansas,Hempstead,2468,4284,169,6921,Mitt Romney,1816,4401,2377,271,7049,Donald Trump,2024,1.85
Arkansas,Hot Spring,3830,7097,333,11260,Mitt Romney,3267,8172,3149,623,11944,Donald Trump,5023,6.07
Arkansas,Howard,1471,2892,99,4462,Mitt Romney,1421,3157,1351,166,4674,Donald Trump,1806,4.75
Arkansas,Independence,3281,8728,388,12397,Mitt Romney,5447,9936,2881,797,13614,Donald Trump,7055,9.82
Arkansas,Izard,1524,3575,179,5278,Mitt Romney,2051,4042,1113,293,5448,Donald Trump,2929,3.22
Arkansas,Jackson,2095,3072,180,5347,Mitt Romney,977,3267,1583,306,5156,Donald Trump,1684,-3.57
Arkansas,Jefferson,17470,9520,393,27383,Barack Obama,7950,9250,15772,872,25894,Hillary Clinton,6522,-5.44
Arkansas,Johnson,2799,5064,235,8098,Mitt Romney,2265,6091,2427,594,9112,Donald Trump,3664,12.52
Arkansas,Lafayette,1173,1713,43,2929,Mitt Romney,540,1758,1032,70,2860,Donald Trump,726,-2.36
Arkansas,Lawrence,1788,3536,216,5540,Mitt Romney,1748,4064,1263,358,5685,Donald Trump,2801,2.62
Arkansas,Lee,2107,1280,37,3424,Barack Obama,827,1229,1735,62,3026,Hillary Clinton,506,-11.62
Arkansas,Lincoln,1425,2199,102,3726,Mitt Romney,774,2455,1252,119,3826,Donald Trump,1203,2.68
Arkansas,Little River,1552,3385,114,5051,Mitt Romney,1833,3605,1397,225,5227,Donald Trump,2208,3.48
Arkansas,Logan,2009,5079,243,7331,Mitt Romney,3070,5746,1715,460,7921,Donald Trump,4031,8.05
Arkansas,Lonoke,5625,17880,609,24114,Mitt Romney,12255,19958,5664,1478,27100,Donald Trump,14294,12.38
Arkansas,Madison,2099,4263,206,6568,Mitt Romney,2164,4928,1588,325,6841,Donald Trump,3340,4.16
Arkansas,Marion,2037,4774,240,7051,Mitt Romney,2737,5336,1434,337,7107,Donald Trump,3902,0.79
Arkansas,Miller,4518,10622,189,15329,Mitt Romney,6104,11294,4273,524,16091,Donald Trump,7021,4.97
Arkansas,Mississippi,6467,6603,305,13375,Mitt Romney,136,7061,5670,473,13204,Donald Trump,1391,-1.28
Arkansas,Monroe,1583,1585,62,3230,Mitt Romney,2,1489,1312,83,2884,Donald Trump,177,-10.71
Arkansas,Montgomery,920,2369,115,3404,Mitt Romney,1449,2643,748,168,3559,Donald Trump,1895,4.55
Arkansas,Nevada,1314,1996,74,3384,Mitt Romney,682,2000,1157,89,3246,Donald Trump,843,-4.08
Arkansas,Newton,993,2508,160,3661,Mitt Romney,1515,2875,699,179,3753,Donald Trump,2176,2.51
Arkansas,Ouachita,4633,5521,161,10315,Mitt Romney,888,5351,4321,263,9935,Donald Trump,1030,-3.68
Arkansas,Perry,1187,2581,170,3938,Mitt Romney,1394,3008,1049,249,4306,Donald Trump,1959,9.34
Arkansas,Phillips,5202,2598,130,7930,Barack Obama,2604,2446,4310,197,6953,Hillary Clinton,1864,-12.32
Arkansas,Pike,851,2847,90,3788,Mitt Romney,1996,3150,685,146,3981,Donald Trump,2465,5.1
Arkansas,Poinsett,2390,4974,196,7560,Mitt Romney,2584,5502,1880,340,7722,Donald Trump,3622,2.14
Arkansas,Polk,1556,5955,215,7726,Mitt Romney,4399,6618,1212,401,8231,Donald Trump,5406,6.54
Arkansas,Pope,5126,14763,550,20439,Mitt Romney,9637,16256,5000,1313,22569,Donald Trump,11256,10.42
Arkansas,Prairie,880,2153,108,3141,Mitt Romney,1273,2505,814,125,3444,Donald Trump,1691,9.65
Arkansas,Pulaski,87248,68984,3149,159381,Barack Obama,18264,61257,89574,8945,159776,Hillary Clinton,28317,0.25
Arkansas,Randolph,2046,3701,209,5956,Mitt Romney,1655,4509,1425,445,6379,Donald Trump,3084,7.1
Arkansas,Saline,12869,32963,1230,47062,Mitt Romney,20094,35863,13256,2981,52100,Donald Trump,22607,10.71
Arkansas,Scott,897,2631,112,3640,Mitt Romney,1734,2731,602,177,3510,Donald Trump,2129,-3.57
Arkansas,Searcy,814,2699,181,3694,Mitt Romney,1885,2955,601,172,3728,Donald Trump,2354,0.92
Arkansas,Sebastian,13092,29169,1101,43362,Mitt Romney,16077,29127,12300,3210,44637,Donald Trump,16827,2.94
Arkansas,Sevier,1042,3136,152,4330,Mitt Romney,2094,3282,1075,205,4562,Donald Trump,2207,5.36
Arkansas,Sharp,2092,4921,270,7283,Mitt Romney,2829,5407,1472,370,7249,Donald Trump,3935,-0.47
Arkansas,St. Francis,4910,3368,84,8362,Barack Obama,1542,3195,4031,204,7430,Hillary Clinton,836,-11.15
Arkansas,Stone,1356,3776,222,5354,Mitt Romney,2420,4113,1203,302,5618,Donald Trump,2910,4.93
Arkansas,Union,6196,10699,282,17177,Mitt Romney,4503,10456,5855,583,16894,Donald Trump,4601,-1.65
Arkansas,Van Buren,1832,4365,233,6430,Mitt Romney,2533,5382,1549,408,7339,Donald Trump,3833,14.14
