state,county,median_age,unemployment,total_population,graduate_degree,at_least_bachelor_s_degree,at_least_high_school_diploma,less_than_high_school,median_earnings_2010_dollars,white,black,hispanic,asian,farming_fishing_and_forestry_occupations,construction_extraction_maintenance_and_repair_occupations,management_professional_and_related_occupations,production_transportation_and_material_moving_occupations,sales_and_office_occupations,service_occupations
Indiana,Posey,40.7,0.072,26077,6.5,18.5,89,11,32564.01905,96.75,0.9,1.25,0.2,0.8,11.35,28.7,22.25,24.95,11.9
Indiana,Pulaski,41.5,0.07,13570,4.4,13.6,85.9,14.1,25903.37905,95.65,0.45,2.2,0.2,1.75,11.7,30,23.95,19.2,13.4
Indiana,Putnam,37.3,0.091,37478,8.4,17.6,85.1,14.9,24476.43905,92.8,3.7,1.45,0.6,1.35,11.5,28.5,19.5,21.4,17.8
Indiana,Randolph,40.2,0.097,26042,4.4,10.4,84.7,15.3,24557.40698,95.55,0.3,2.5,0.15,1.35,10.45,26.05,27.9,18.7,15.45
Indiana,Ripley,38.8,0.09,28098,4.4,14.8,84.8,15.2,28286.94921,96.85,0.3,1.45,0.45,1,11.7,23.45,25.7,22.25,15.95
Indiana,Rush,39.7,0.079,17408,4.9,13.2,84.8,15.2,27865.5927,96.7,1.1,1,0.3,1.45,12.7,24.05,24.15,22.15,15.45
Indiana,Scott,38.2,0.098,23913,3.6,9.9,74.3,25.7,26805.59588,97.25,0.2,1.4,0.35,0.25,9.7,22.2,32.75,20.75,14.35
Indiana,Shelby,39.7,0.078,44200,4.3,15.2,85.9,14.1,31298.64191,94,0.85,3.2,0.5,0.4,13.1,26.65,21.35,23.6,14.9
Indiana,Spencer,41.7,0.077,20559,6.5,15.9,85.7,14.3,30028.79492,96.5,0.35,2.4,0.2,0.7,13.85,26.95,22.9,19.85,15.7
Indiana,St. Joseph,35.9,0.097,266665,9.7,25.6,86.4,13.6,25850.42413,76.75,12.05,6.75,1.85,0.2,7.95,32.65,16.05,26.75,16.45
Indiana,Starke,40.2,0.104,23380,4.7,11.2,79.1,20.9,24178.18095,95.15,0.35,3.1,0.2,1.2,13.5,20.3,28.4,21.55,15.1
Indiana,Steuben,39,0.089,33864,7.1,18.9,89.4,10.6,25152.15079,92.75,0.5,2.95,0.4,1.2,8.5,25.55,23.75,25.9,15.15
Indiana,Sullivan,39.1,0.111,21395,4.7,14.1,86.1,13.9,24458.35016,93.85,3.95,1.2,0.15,0.7,11.25,27,20.2,21.55,19.25
Indiana,Switzerland,40.4,0.069,10120,4.6,11.4,78.1,21.9,29123.37651,98.3,0.15,0.75,0.1,0.1,11.95,20.6,21.25,24.25,21.8
Indiana,Tippecanoe,27.4,0.074,167653,16.4,35.7,90.5,9.5,18684.01619,81.65,3.55,7.25,5.65,0.5,6.75,38.2,13.8,22.25,18.45
Indiana,Tipton,41.8,0.093,15995,5,13.5,87.5,12.5,26687.58159,97.05,0.25,1.95,0.2,1.4,13.5,27.25,20.2,21.2,16.55
Indiana,Union,38.7,0.086,7299,4.1,15.2,84.8,15.2,27504.64444,97.3,0.25,1.1,0.35,1.5,10.2,25.85,20.4,21.1,20.9
Indiana,Vanderburgh,37.4,0.076,177123,7.4,21.8,87.1,12.9,26186.06667,86.35,8.65,1.75,1.05,0.35,9.05,29.4,16.25,26.95,18
Indiana,Vermillion,41.2,0.112,16256,4.2,12.3,85.4,14.6,26112.39778,97.3,0.1,0.95,0.2,1.3,11.2,23.55,22.05,22.7,19.25
Indiana,Vigo,36.1,0.1,106641,9.5,21.3,84.8,15.2,21381.42191,87.5,6.55,1.9,1.6,0.2,8.85,30.2,16.1,25.1,19.5
Indiana,Wabash,40.8,0.086,32946,6.1,16.3,85.4,14.6,24197.37175,95.75,0.6,1.75,0.4,1.55,9.05,28.7,24.75,20.5,15.4
Indiana,Warren,41.8,0.065,8540,4.1,13.1,83.2,16.8,28566.68064,97.9,0.05,0.5,0.55,1.25,12.4,27.05,24.65,19.6,15.05
Indiana,Warrick,39.6,0.068,58377,9.3,25.6,91.3,8.7,31488.81873,94.45,1.15,1.4,1.35,0.3,10.2,33.4,14.4,27.1,14.65
Indiana,Washington,38.2,0.086,28021,5.2,10.5,79.6,20.4,25078.17969,97.35,0.15,1.05,0.45,1.05,11.5,23.25,26.55,20.15,17.45
Indiana,Wayne,40.1,0.103,68534,6.4,15.8,82.6,17.4,25641.63079,89.7,4.8,2.35,0.75,0.5,8.75,28.35,21.25,22.45,18.7
Indiana,Wells,40,0.074,27678,4.9,14,89.4,10.6,27537.98635,96.45,0.45,1.95,0.25,1.1,8.65,26.55,24.15,24.2,15.35
Indiana,White,41.9,0.081,24241,5.3,14.5,86.8,13.2,25549.49397,90.7,0.15,7.55,0.3,2.6,9.75,25.4,22.35,22.15,17.85
Indiana,Whitley,38.8,0.079,32898,5.3,16.6,90.2,9.8,29897.92381,96.7,0.25,1.35,0.3,0.9,10.55,25.35,26.75,23.7,12.75
Iowa,Adair,44.8,0.042,7618,2.8,13.6,91.4,8.6,28412.52508,98,0.05,0.95,0.25,1.1,10.45,30.8,23.5,22.15,12
Iowa,Adams,45.7,0.044,4050,4.4,15.6,89,11,24250.6873,97.15,0.1,1.25,0.3,1.35,11.75,31.8,18.5,18.8,17.85
Iowa,Allamakee,43.4,0.069,14375,3.7,13.5,86.9,13.1,22688.39365,92.25,0.5,6.6,0.25,2.3,12.1,25.6,24.7,18.35,17
Iowa,Appanoose,43.4,0.069,12931,5.3,16.6,87.1,12.9,23358.27715,96.8,0.35,1.3,0.5,1.75,7.85,29.2,21.25,23.35,16.65
Iowa,Audubon,46,0.052,6129,3.6,15,86.6,13.4,23835.91111,98.15,0.05,1.1,0.2,2.9,7.55,31.8,19.15,17.65,20.9
Iowa,Benton,40,0.053,26352,4.3,17.8,92.6,7.4,30373.86571,97.45,0.45,0.95,0.2,1.9,12.95,28.55,19.15,22.8,14.75
Iowa,Black Hawk,34.7,0.054,129229,7.8,24.6,88.8,11.2,23121.45492,85.05,8.35,3.25,1.2,0.6,6.95,29.95,18.45,25.65,18.4
Iowa,Boone,40.2,0.044,26264,4.6,19.6,92.1,7.9,27864.56222,96.45,0.7,1.55,0.3,1.4,9.05,30.25,18.3,24.1,17
Iowa,Bremer,38.8,0.039,23890,7.5,26.5,93.6,6.4,29465.88984,96.9,0.5,0.9,0.7,1.1,8.4,35.85,15.6,23.75,15.3
Iowa,Buchanan,38.4,0.051,20934,5,18.5,90.5,9.5,27996.89905,97.25,0.35,1.05,0.5,1.75,11.65,29.1,22.2,20.85,14.5
Iowa,Buena Vista,36.9,0.045,19916,6.8,22.6,79.5,20.5,23662.77746,70.45,1.95,21.5,4.8,2.75,9.25,27.05,25.6,20.7,14.7
Iowa,Butler,43.4,0.044,14724,3.5,14.9,88,12,27898.23556,98,0.2,0.9,0.2,1.9,8.7,26.3,24.8,24.1,14.15
Iowa,Calhoun,47.5,0.048,9817,4.3,18,90.7,9.3,25167.59016,96.9,0.65,1.1,0.2,1.2,7.05,31.95,14.9,22.45,22.45
Iowa,Carroll,42.2,0.037,20790,3.8,20,89.6,10.4,27503.02222,97.1,0.2,1.5,0.6,2.15,9.3,28.2,17.35,25.85,17.2
Iowa,Cass,44.6,0.053,13905,3.5,14.5,91.1,8.9,23159.97175,97.05,0.3,1.6,0.15,2.85,10.95,28,17.65,24.3,16.25
Iowa,Cedar,42.1,0.045,18243,4.8,18.6,92,8,30377.92445,96.85,0.15,1.45,0.4,1.1,12.3,31.1,18.3,22.45,14.8
Iowa,Cerro Gordo,42.7,0.057,44039,5.6,21.2,91.9,8.1,25934.83365,93,1.1,3.5,0.8,0.5,7.55,30.4,20.2,24.65,16.75
Iowa,Cherokee,46.9,0.046,11876,4.4,19.2,92.6,7.4,27268.0527,95.95,0.6,2.2,0.6,2.45,11.35,26.65,20.15,19.25,20.2
Iowa,Chickasaw,43.8,0.052,12299,3.2,13.5,88.2,11.8,26272.00793,97.2,0.15,2.15,0.3,2.3,9.4,29.5,27.45,18.6,12.8
Iowa,Clarke,40.9,0.062,9177,3.1,12.9,84.8,15.2,25957.46444,90.5,0.2,8.45,0.35,2.65,8.9,27.05,21.2,21.2,18.95
