state,county,median_age,unemployment,total_population,graduate_degree,at_least_bachelor_s_degree,at_least_high_school_diploma,less_than_high_school,median_earnings_2010_dollars,white,black,hispanic,asian,farming_fishing_and_forestry_occupations,construction_extraction_maintenance_and_repair_occupations,management_professional_and_related_occupations,production_transportation_and_material_moving_occupations,sales_and_office_occupations,service_occupations
New Mexico,San Miguel,39.8,0.072,28996,10.1,23.3,81.9,18.1,20865.80572,19.45,1.05,77.05,0.4,2,8.3,32.6,7.8,25.75,23.5
New Mexico,Sandoval,37.4,0.08,124186,11,28.4,90.3,9.7,31400.58667,48.25,2.05,33.8,1.25,0.25,10.25,37.65,9.1,27.9,14.85
New Mexico,Santa Fe,42.2,0.055,143835,19,40,86.3,13.7,26079.09905,43.95,0.7,50.45,1.1,0.45,9.8,40.55,6.5,23.1,19.65
New Mexico,Sierra,53.6,0.062,12316,5.4,16.8,83.9,16.1,20153.12254,67.7,0.3,28.9,0.2,0.95,18.65,24.9,6.1,27.9,21.5
New Mexico,Socorro,36.5,0.049,18014,11,22.3,79.7,20.3,20016.95842,37.35,0.85,48,1.65,2.55,11.55,36.65,9.65,18.4,21.15
New Mexico,Taos,44.1,0.091,32190,11,30.1,88.3,11.7,20781.83397,36.55,0.25,55.6,0.4,1.15,12.9,29.2,8.05,26.15,22.55
New Mexico,Torrance,40.7,0.082,16474,4.1,14,77.2,22.8,20567.20476,55.75,0.7,38.7,0.6,1.1,14.7,26.55,13.3,21.85,22.4
New Mexico,Union,42.3,0.046,4152,7.8,17.8,84.1,15.9,20832.77048,58.5,0.95,38.95,0.25,10.75,13.1,34,6.6,19.3,16.3
New Mexico,Valencia,36.9,0.081,73771,5.8,16.8,80.1,19.9,26291.76159,37,1.25,57.1,0.45,0.85,14.95,28,12.05,26.25,17.85
New York,Albany,38.1,0.074,301272,17.8,37.6,90.7,9.3,32103.38222,77.45,11.6,4.45,4.3,0.2,5.8,42.55,7.7,27.85,16
New York,Allegany,37.1,0.085,49168,9.6,18.6,88.3,11.7,20614.25619,95.5,1,1.25,1,1.65,10.75,31.8,15.8,20.6,19.3
New York,Bronx,32.6,0.127,1383318,6.5,17.6,68.8,31.2,25785.72254,11.85,30.35,52.35,3.35,0.2,7.45,24.6,11.65,25.8,30.35
New York,Broome,39.8,0.088,197904,11.4,25.1,88.3,11.7,25057.19619,87.35,4.2,2.95,3.35,0.2,6.55,35.5,12.9,26.45,18.45
New York,Cattaraugus,40.3,0.089,80333,8.4,18.1,87.4,12.6,23243.69873,92.4,1.2,1.45,0.65,1.45,10.5,28.55,16.95,23.8,18.8
New York,Cayuga,40.7,0.081,80010,7.2,18.4,84.8,15.2,27816.39238,91.6,3.7,2.3,0.5,1.45,10.9,29.35,17.15,23.35,17.8
New York,Chautauqua,40.3,0.085,134491,8.9,20.3,86.2,13.8,23641.50032,90.1,1.9,5.5,0.55,1.25,8.2,30.05,18.5,22.5,19.5
New York,Chemung,40.6,0.087,88495,9.3,20.9,87.6,12.4,25952.51175,88.25,5.9,2.3,1.1,0.25,7.4,32.95,14.15,26,19.3
New York,Chenango,42.2,0.084,50716,6.7,17,85,15,26050.40762,95.7,0.75,1.7,0.35,1.4,9.8,30.45,18.8,22.3,17.35
New York,Clinton,38.1,0.099,81941,9.5,21.7,84.2,15.8,25723.08,91.4,3.35,2.6,0.95,1.1,8.8,31.65,13.7,24.5,20.25
New York,Columbia,44.2,0.074,62656,12.9,28.2,87,13,31205.43206,88.8,4.6,3.55,1.55,1,11,38.2,10.9,22.55,16.35
New York,Cortland,35.8,0.088,48771,9.3,24.3,89.1,10.9,24859.76826,94.15,1.45,1.95,0.75,1.45,7.75,32.9,12.85,25.75,19.35
New York,Delaware,44.6,0.089,47087,8.1,19.1,87,13,24614.29461,93.3,1.4,3.1,0.75,2.25,10.55,29.65,16.1,21,20.4
New York,Dutchess,39.4,0.079,294837,13.9,32,89.1,10.9,34225.58572,75.65,9.15,9.65,3.4,0.3,10.05,39.15,8.4,23.55,18.6
New York,Erie,40,0.083,916620,12.7,29.1,88.4,11.6,29502.8473,78.7,13,4.15,2.3,0.1,6.45,36.5,11.7,27.45,17.75
New York,Essex,43.6,0.099,38648,10.5,25.5,88.7,11.3,27262.75206,91.6,2.8,2.45,0.7,0.95,12.75,33.2,11.65,19.25,22.2
New York,Franklin,39,0.097,50986,7.9,17.3,83.3,16.7,24157.61715,82.3,6.2,3.5,0.8,1.3,10.45,30,11.25,21.75,25.25
New York,Fulton,42,0.106,55281,5.6,14.3,83.2,16.8,26216.31111,93.8,1.7,2.3,0.7,0.45,9.95,26.7,19.5,24,19.35
New York,Genesee,40.9,0.079,59143,8,20.2,90.4,9.6,27357.21461,92.25,2.3,2.4,0.5,1.4,10.55,29.8,17.6,22.85,17.75
New York,Greene,42.9,0.094,49146,8.4,19.2,85.7,14.3,27548.55651,87.05,5.6,5,0.85,0.5,11.2,31,10.7,26.3,20.25
New York,Hamilton,50.4,0.086,4923,12,25.9,88.6,11.4,29950.99651,96.3,0.65,0.7,0.45,1.15,17.9,30.2,8.9,20.55,21.35
New York,Herkimer,42.2,0.09,63479,7.4,18.2,86.4,13.6,26568.67619,95.75,0.9,1.5,0.6,0.8,9.75,30.4,15.4,25.5,18.15
New York,Jefferson,32.6,0.101,116912,8.5,20.2,87.8,12.2,25844.01429,86.25,4.65,4.9,1.25,0.7,10.75,28.95,12.25,26.15,21.2
New York,Kings,34.1,0.099,2521420,10.8,28.8,77.8,22.2,31335.37429,36.15,32.5,19.7,9.75,0.1,7.35,35.05,10,24.45,23.15
New York,Lewis,39.9,0.101,26646,6,14.4,86,14,26557.9473,96.75,0.65,1.15,0.3,3.15,14.25,29.45,15.95,18.2,19.05
New York,Livingston,38.9,0.083,64277,9.9,23.4,88.7,11.3,24274.8873,92.25,2.45,2.7,1.1,1.6,10.45,33.25,13.65,23.6,17.45
New York,Madison,38.5,0.087,71655,9.9,23.7,88.5,11.5,25902.49683,94.25,1.7,1.6,0.8,1.45,9.2,34.1,13.05,24.4,17.8
New York,Monroe,38.1,0.08,737982,15.1,34.8,88.4,11.6,29746.92032,74.25,14.1,6.6,3,0.15,6.1,40.95,11.1,25.55,16.15
New York,Montgomery,40.6,0.104,49425,7,15.9,82.7,17.3,27779.91238,86.35,1.3,10.15,0.75,1.15,10.75,29.25,16.95,24.05,17.85
New York,Nassau,40.7,0.071,1346836,18.2,40.9,89.7,10.3,43215.60508,67.35,10.5,13.4,7.15,0.1,6.85,42.85,7.3,27.8,15.1
New York,New York,36.3,0.077,1603417,27.2,57,84.6,15.4,46965.57207,48.9,13.15,24.95,10.65,0.1,2.05,57.55,4.65,22.15,13.6
New York,Niagara,41.2,0.09,215541,8.4,19.6,88.4,11.6,27867.64698,87.9,6.55,1.95,0.85,0.3,8.8,29.45,15.45,27.45,18.45
New York,Oneida,40.4,0.086,232953,8.6,21.5,86,14,27168.07905,86,5.55,4.3,2.15,0.4,7.8,34.35,12.75,25.6,19.05
New York,Onondaga,38.3,0.081,460436,13.8,32,89.3,10.7,29775.61715,80.6,10.05,3.5,2.85,0.3,7.15,38.75,9.75,27.6,16.45
New York,Ontario,41.6,0.075,106068,12.6,31,91.5,8.5,29663.66381,92.15,2.05,3.15,1,0.85,9.05,38.25,12.25,23.6,16.05
New York,Orange,36.2,0.083,374680,11.7,27.7,86.7,13.3,34189.48445,69.4,9.1,16.95,2.3,0.55,9.3,35.35,10.35,26.35,18.05
New York,Orleans,40.2,0.104,42631,5.5,15.1,84.2,15.8,25636.14762,87.45,5.95,4.15,0.35,1.7,11.6,27.2,20.5,22,16.95
New York,Oswego,38,0.106,121848,6.1,15.7,86.3,13.7,25264.14159,95.35,0.8,1.85,0.65,0.55,12.95,26.8,16.9,25,17.8
New York,Otsego,39.8,0.08,62172,11,25.5,88.3,11.7,21338.21175,93.05,1.7,2.7,1.05,0.8,9.2,34.25,11.9,23.05,20.8
New York,Putnam,40.9,0.067,99410,16,38,93.7,6.3,42615.08699,83.55,2.1,10.9,1.7,0.3,10.1,41.8,6.6,26.35,14.85
New York,Queens,37.1,0.083,2254791,10.3,29.5,80,20,32150.97492,29.35,17.9,26.9,22.05,0.1,8.8,31,11.05,26.2,22.9
New York,Rensselaer,39.1,0.079,157236,11.8,26.7,89.2,10.8,31053.14921,86.8,5.15,3.3,2.1,0.25,8.6,37.1,10.55,27.9,15.6
New York,Richmond,38.1,0.085,475949,11.3,28.5,87.5,12.5,41714.90666,65.55,9.45,16.2,7.35,0,9.4,36.25,7.95,27.9,18.5
New York,Rockland,36.8,0.069,304492,18.2,40.7,87.9,12.1,39862.44571,67.1,11,14.3,6.15,0.1,7.6,43.55,6.85,24.65,17.3
New York,Saratoga,40,0.07,218049,14.8,34.6,91.8,8.2,35811.84286,93.1,1.4,2.2,1.65,0.35,7.95,40.55,9.25,26.05,15.85
New York,Schenectady,39.7,0.079,152600,13,28.7,90,10,31623.38222,78.75,8.3,5.05,3.45,0.1,6.7,37.75,10.25,28,17.15
New York,Schoharie,41.3,0.095,32281,8.7,21,86.5,13.5,26100.34921,94.3,1.2,2.5,0.65,1.45,14.1,30.4,12.6,23,18.4
New York,Schuyler,42.5,0.084,18619,7.8,17.4,87.4,12.6,26865.13619,95.55,1.35,1.4,0.25,1.35,10.5,31.2,14.45,22.75,19.8
New York,Seneca,40.5,0.079,34716,6.5,18.1,83.7,16.3,26061.72318,90.4,4.35,2.85,0.8,0.75,10.75,31.5,16.3,23.2,17.45
New York,St. Lawrence,36.9,0.105,110843,8.6,18.7,85.8,14.2,20709.10159,93,2.4,1.9,1,1.7,10.55,30.5,11.05,24.2,21.9
New York,Steuben,41,0.098,97832,9.5,19.9,87.5,12.5,26989.04286,94.7,1.5,1.25,1.25,1.15,10.45,32.35,16.8,21.95,17.35
New York,Suffolk,39.2,0.076,1502189,14.2,31.9,89.4,10.6,39732.54158,73.4,6.85,14.85,3.35,0.2,9.45,37.35,9.4,27.45,16.1
New York,Sullivan,41.2,0.096,76735,8.8,20.3,83.9,16.1,28640.83461,75.6,8.1,12.65,1.4,0.6,12.45,34.3,9.6,22.5,20.55
New York,Tioga,42,0.084,50746,9.1,22.7,89.1,10.9,27624.60476,95.95,0.55,1.4,0.6,1.25,10.25,33.35,15.7,24.25,15.2
New York,Tompkins,29.6,0.06,101073,28.5,49.7,92.4,7.6,20281.21461,80.6,3.45,4,8.85,0.95,6.15,48.8,6.9,22.2,14.9
New York,Ulster,41.2,0.088,182001,13.6,29.5,87.5,12.5,30710.44794,82.65,5.45,8,1.65,0.5,9.5,37.5,9.95,24.75,17.8
New York,Warren,43.1,0.086,65725,11.9,27.3,89.6,10.4,27902.15936,95.45,0.8,1.7,0.75,1.2,9.7,32.85,12,25.95,18.35
New York,Washington,41.2,0.078,62851,7.3,16.8,85.9,14.1,26534.81556,93.2,2.8,2.3,0.45,1.55,11.2,27.9,18.55,22.75,18.05
New York,Wayne,40.8,0.086,92715,8.5,21.5,86.7,13.3,28798.93746,91.25,3.25,3.4,0.5,1.6,10.05,32.75,17.3,22.3,16
New York,Westchester,39.7,0.072,949081,22.1,44.5,87.4,12.6,42560.19746,59.1,13.3,20.25,5.45,0.1,7.6,45.6,6.1,23.65,16.9
New York,Wyoming,40.1,0.087,41987,5.5,14.8,85.5,14.5,27058.81841,89.95,5.6,3.15,0.3,2.3,13.15,29.15,15.85,22.25,17.35
New York,Yates,39.9,0.072,24937,10.3,22.1,83.9,16.1,22973.88667,96.3,0.85,1.6,0.4,2.1,11.7,31.95,13.65,23.95,16.65
North Carolina,Alamance,38,0.094,147950,6.8,21.4,81.4,18.6,25717.54222,67.85,18.2,10.8,1.2,0.45,10.15,30.6,16.5,25.6,16.7
North Carolina,Alexander,40.3,0.101,36738,3.6,11.8,75.7,24.3,25765.87143,88.05,5.5,3.85,1.05,1.25,9,22.75,32.85,20.1,14
North Carolina,Alleghany,45.4,0.106,11030,5,16.1,71.4,28.6,16365.48095,85.25,0.95,11.95,0.4,17.4,12.95,24.25,16.6,18.1,10.65
North Carolina,Anson,40,0.119,26095,2.2,8.4,77.6,22.4,21825.01905,47.15,48.15,2.2,1,2.1,12.9,21.35,28.05,18.85,16.8
North Carolina,Ashe,44.6,0.115,26374,6.1,17.2,76.8,23.2,21947.29842,93.95,0.5,4.15,0.45,3,13.95,24.1,18.9,24.2,15.8
North Carolina,Avery,41.7,0.112,17850,6,20.3,81.3,18.7,19670.20603,89.85,3.3,4.1,0.4,1.75,12.25,29.7,12.75,21.35,22.15
North Carolina,Beaufort,43.5,0.109,46876,6.3,19,81.5,18.5,24243.87238,66.95,26.35,5.45,0.25,2.85,15.05,28.6,15.85,20.55,17.15
North Carolina,Bertie,43.3,0.121,20234,2.8,10.1,72.3,27.7,20956.98064,35.05,62.4,1.2,0.3,3,10.9,21.4,25.2,20.55,18.95
North Carolina,Bladen,39.9,0.124,33801,2.4,9.8,74,26,23681.72095,55.05,34.7,6.55,0.15,4.3,12.1,26.25,21.15,19.5,16.7
North Carolina,Brunswick,46.6,0.106,103071,7.6,23.4,84.7,15.3,24315.5508,81.55,10.25,4.45,0.45,0.85,15.5,28.4,12.45,23.5,19.3
North Carolina,Buncombe,40.6,0.075,232093,11.1,31.2,87.2,12.8,25470.16032,85.2,6.6,5.1,1,0.35,9.9,35.75,11.5,24,18.45
North Carolina,Burke,40.3,0.108,89949,5.5,15.1,74.9,25.1,23396.16921,83.15,6.5,5.1,3.5,0.45,9.95,27.1,22.55,19.4,20.5
North Carolina,Cabarrus,36.3,0.088,169742,7.1,23.5,85,15,31233.13969,72.9,14.5,8.9,1.65,0.45,11.2,33.95,13.4,27.45,13.5
North Carolina,Caldwell,40.5,0.114,81205,4.5,12.3,74.6,25.4,25296.95524,88.85,4.85,4.3,0.55,0.5,11.55,24.1,27.9,22.05,13.85
North Carolina,Camden,40.2,0.078,9677,4.3,19,88.4,11.6,33359.09873,80.4,14.75,1.6,1.4,2.15,15.7,35.4,6.35,24.25,16.2
North Carolina,Carteret,45.1,0.086,64919,8.3,23.8,87.6,12.4,25701.79111,87.7,6.45,2.85,0.8,1.15,14.25,31.4,10.25,24.85,18.1
North Carolina,Caswell,42.8,0.097,23473,3.8,11.1,75,25,22255.48445,61.7,33.9,2.85,0.15,1.45,12.25,28.2,20.95,20.2,17.05
North Carolina,Catawba,38.9,0.11,154757,5.7,19.4,81.4,18.6,26354.27651,78.4,8.05,8.55,3.15,0.05,8.85,29.4,22.7,24.1,14.95
North Carolina,Chatham,42.7,0.074,62474,15,35.1,83.8,16.2,27625.52095,71.15,13.15,12.6,1.5,0.85,11.45,39.65,14.25,19.1,14.7
North Carolina,Cherokee,47.4,0.128,26823,6.4,15.9,81.5,18.5,23268.26603,92.8,0.85,2,0.4,1.45,16.95,26.05,17.2,19.95,18.35
North Carolina,Chowan,42.3,0.104,14711,4.6,15.7,77.4,22.6,22599.47016,60.95,34.85,2.65,0.4,2.35,15.35,27.3,13.95,22,19
North Carolina,Clay,49.1,0.096,10335,6.2,18.6,83,17,24843.67524,95.5,1.5,1.95,0.1,0.3,16.8,28.1,12.95,24.1,17.75
North Carolina,Cleveland,39.8,0.104,98204,5,15.7,79.5,20.5,24431.93238,74.85,20.5,2.45,0.7,0.3,10.2,28.25,21.35,23.05,16.8
North Carolina,Columbus,39.6,0.126,56074,3.6,12,77.5,22.5,22785.83714,61.2,30.35,3.9,0.2,2.2,12.65,24.95,15.25,22.3,22.6
North Carolina,Craven,36.8,0.097,100147,7.1,21.3,87.5,12.5,25436.82667,68.3,22.65,4.95,1.65,0.65,12.9,30.05,12.85,24.4,19.1
North Carolina,Cumberland,30.9,0.103,314373,7.4,21.8,88.3,11.7,26383.50793,49.35,35.25,7.8,2.1,0.45,8.75,32.1,13.05,26.2,19.5
North Carolina,Currituck,40.6,0.069,23630,5.1,17.2,84.7,15.3,29672.72254,88.55,6.45,2.6,0.6,0.85,17.45,30.15,8.2,27,16.3
North Carolina,Dare,43,0.113,33948,10.2,32.1,91.8,8.2,29131.64,90,3.05,5,0.45,3.45,16.1,32.65,5.45,24.85,17.45
North Carolina,Davidson,39.5,0.102,159455,4.5,16.3,79.1,20.9,27370.24286,82.35,9,6.05,1.2,0.3,11.45,26.8,21.6,25.65,14.15
North Carolina,Davie,41.7,0.087,40768,7.8,23.6,84.4,15.6,30297.10857,85.5,6.65,6.15,0.5,0.75,11,31.35,17.2,25.75,13.95
North Carolina,Duplin,37,0.097,55431,2.6,10.1,69.7,30.3,20363.43111,52.65,25.3,20.55,0.2,7.55,14.45,22.35,19.5,18.9,17.2
North Carolina,Durham,33.2,0.076,261941,19.4,44.1,86.3,13.7,29010.68,43.95,36.9,12.4,4.4,0.1,8.4,48.35,6.8,20.85,15.45
North Carolina,Edgecombe,39.3,0.147,54569,2.4,10.1,76.7,23.3,21892.94635,38.15,56.55,3.9,0.15,1.2,10.1,20.25,25.75,22.75,19.95
North Carolina,Forsyth,37.2,0.09,348760,10.3,31.2,86.9,13.1,28197.07111,60.4,25.25,10.95,1.65,0.2,8.65,37.05,12.55,25.3,16.3
North Carolina,Franklin,39,0.09,58910,4.6,15.2,80.1,19.9,27702.20984,64,26.45,7.45,0.4,1.65,15.5,29.75,14.7,23.9,14.5
North Carolina,Gaston,38.3,0.106,204117,5.5,18.1,78.9,21.1,27131.98953,76.8,14.5,5.65,1.15,0.05,11,30.05,19,24.95,14.95
North Carolina,Gates,42.2,0.073,11876,2.5,10.5,82.6,17.4,28445.86318,62.1,34.5,1.25,0.05,1.7,16.35,27.1,20,19.9,14.9
North Carolina,Graham,42.1,0.168,8412,4.2,13,79.4,20.6,21618.67714,89.4,0.25,2,0.15,1.4,14.2,20.4,17.05,20.85,26.2
North Carolina,Granville,38.9,0.096,57793,3.8,13.8,79.9,20.1,28103.53397,57.9,32.8,7,0.5,1.35,10.5,29.7,17.3,23.55,17.7
North Carolina,Greene,37.8,0.095,20882,2.2,9.2,73.8,26.2,22256.36762,47.1,37.65,13.25,0.2,3.05,13.15,23.4,18.55,19.15,22.6
North Carolina,Guilford,36.2,0.098,476223,10.4,32.4,86.9,13.1,27857.93206,56.2,31.35,6.5,3.6,0.15,8.25,35.05,13.15,27.85,15.6
North Carolina,Halifax,41.1,0.132,54904,4,11.4,73.3,26.7,22439.2073,40.05,52.55,1.7,0.65,0.65,11.1,26.7,19.1,22.6,19.85
North Carolina,Harnett,33.7,0.108,111781,4.9,16,81,19,26043.09746,65.25,20.95,9.6,0.9,1.3,13.9,28.75,16.3,22.55,17.25
North Carolina,Haywood,45.1,0.087,57785,6.9,20.6,84.1,15.9,25626.02635,94.4,1.1,2.7,0.35,0.5,14.5,29.65,13,24.7,17.55
North Carolina,Henderson,44.9,0.073,103536,10.1,27.3,87.2,12.8,25456.56984,85.35,3.05,9.15,0.85,0.5,11.55,32.4,15.6,22.4,17.55
North Carolina,Hertford,40.3,0.104,23975,5.2,15.7,73.5,26.5,21110.70413,34.55,59.8,2.35,0.5,1.95,9.1,26.5,19.85,22.25,20.35
North Carolina,Hoke,30.9,0.094,44681,5.2,15.1,79.9,20.1,24490.85873,41.95,32.7,11.65,1.05,1.5,11.9,25.35,15.55,22.5,23.25
North Carolina,Hyde,40.6,0.109,5533,1.9,11.7,76.7,23.3,19553.96635,57.3,34.8,6.4,0.3,4.6,6.9,27.45,14.65,24.95,21.45
North Carolina,Iredell,38.4,0.097,154891,6.1,21.6,84.5,15.5,28200.00031,78.55,12,6.15,1.75,0.5,10.55,28.4,20.3,25.35,14.9
North Carolina,Jackson,36.6,0.092,38359,11,27,81.4,18.6,19490.43809,82.2,2,3.8,0.85,0.8,11.75,31.75,8,24.6,23.05
North Carolina,Johnston,36,0.084,162883,4.5,19.3,81.2,18.8,30556.01048,70.75,15.2,11.85,0.55,0.9,15.1,31.85,12.2,26.1,13.85
North Carolina,Jones,42.8,0.105,10090,2.7,10.7,78.2,21.8,23066.68032,61.3,32.65,3.9,0.15,2.95,14.45,24.65,16.3,23.2,18.5
North Carolina,Lee,37.6,0.118,57892,5.2,18,80.7,19.3,25210.32857,60.95,19.4,17,0.85,0.6,11.6,27.4,22.6,22.1,15.7
North Carolina,Lenoir,40.6,0.1,58163,4.2,14.5,76.2,23.8,22832.36413,52.4,40.1,5.75,0.45,2.3,10.9,27.9,19.95,19.9,18.95
North Carolina,Lincoln,40.4,0.101,75496,4.4,17.8,79.5,20.5,27826.19048,84.95,5.7,7.5,0.45,0.8,11.55,27.7,21.5,25.05,13.45
North Carolina,Macon,47.5,0.107,33264,7.2,19.5,83,17,22741.36318,91.95,1.3,4.8,0.55,0.55,18.55,30.35,8.95,24.15,17.45
North Carolina,Madison,43.2,0.092,20495,5.6,19.2,77.3,22.7,23921.37715,95.25,1.25,1.9,0.3,0.45,11.8,27.45,16.05,25.7,18.55
North Carolina,Martin,43.1,0.113,24102,3.8,12.2,78.6,21.4,21971.09619,51.9,42.9,3.1,0.15,2.8,11.4,26.05,18.8,22.3,18.6
North Carolina,McDowell,41,0.111,44291,4.5,14,79,21,24173.06,89.1,3.6,4.9,1.05,1.2,10.5,27.4,23,19.9,18
North Carolina,Mecklenburg,33.8,0.094,890408,12.6,40,88.3,11.7,32241.60921,52.95,29.35,11.15,4.3,0.15,7.95,40.55,9.95,27.15,14.3
North Carolina,Mitchell,44.9,0.118,15634,4.9,14.4,76.5,23.5,23144.23873,94.4,0.4,3.9,0.45,2.6,16.5,24.1,22.25,18.35,16.1
North Carolina,Montgomery,39.5,0.113,27627,4.4,14.8,72.1,27.9,22106.31365,63.35,19,14.65,1.75,1.4,10.65,25.5,29.85,14.95,17.65
North Carolina,Moore,44.7,0.088,86263,10.3,29.8,88.4,11.6,26119.31238,77.65,14,5.8,0.75,1.05,10.15,33.05,10.85,22.4,22.45
North Carolina,Nash,39.2,0.12,94327,5.2,19.1,81.8,18.2,28494.92603,55.6,36.6,5.45,0.8,1.4,9.15,30.15,17.75,26.85,14.7
North Carolina,New Hanover,37.2,0.092,196065,11.9,36.1,89.5,10.5,25510.4873,77.55,15,4.3,1.2,0.1,8.95,36.4,8.5,26.25,19.8
North Carolina,Northampton,44.5,0.11,21355,4.5,12,69.1,30.9,22517.62032,39.4,57.85,1.25,0.1,1.4,9.45,23.85,18.25,22.75,24.25
North Carolina,Onslow,25.5,0.087,171476,5.2,17.7,88.1,11.9,22903.01302,69.7,15.85,8.55,1.85,0.65,13.75,29.4,9.75,26.1,20.35
North Carolina,Orange,33.3,0.062,129152,29.1,54.4,89.9,10.1,25630.96953,71.9,12.6,7,6.25,0.4,6.65,51.35,5.25,20.2,16.15
North Carolina,Pamlico,47.6,0.097,12807,6.9,17.5,82.7,17.3,24435.82158,74.4,21.25,2.25,0.3,1.75,15.65,28.7,15.7,22.55,15.6
North Carolina,Pasquotank,36,0.106,40497,6.6,18.7,81.9,18.1,22273.55524,55.8,37.9,3.15,1.1,1,10.65,32.3,11.65,22.65,21.8
North Carolina,Pender,41.2,0.108,50812,5.2,17.8,83.8,16.2,25393.32032,73.85,18.5,5.7,0.35,1.75,16.3,24.95,13.8,25.15,18
North Carolina,Perquimans,46.3,0.098,12910,5.9,18.1,85.3,14.7,21308.41715,71.85,25.7,1.55,0.15,2.65,10.5,27.35,16.2,26.9,16.45
North Carolina,Person,40.9,0.097,38382,3.7,13.8,81.9,18.1,30043.08857,67.15,27.1,3.45,0.3,1.5,13.3,27.45,18.1,24.1,15.6
North Carolina,Pitt,30.9,0.093,160039,10.4,28.2,85.1,14.9,21972.9981,58.3,33.4,4.95,1.35,0.8,8.15,36.7,11.3,24.6,18.35
North Carolina,Polk,48.9,0.076,19808,10.9,27.2,86.1,13.9,25181.43397,89,4.95,4.8,0.3,2,15.25,25.2,15.6,24.6,17.35
North Carolina,Randolph,39.1,0.096,140597,3.4,13,75.6,24.4,25334.08032,81.75,5.6,10.25,0.95,0.75,12.25,24.75,26.35,22.3,13.5
North Carolina,Richmond,38.3,0.128,46293,3.6,10,74.9,25.1,23259.36222,60,30.45,5.1,0.85,1.7,11.95,23.95,21.8,19.15,21.4
North Carolina,Robeson,34.1,0.13,130927,4.1,12.1,68.7,31.3,21055.45048,28,23.95,8.1,0.65,2.5,15.85,24.6,20.1,18.75,18.15
North Carolina,Rockingham,41.7,0.113,92825,3,12.5,76.6,23.4,25761.45746,73.9,18.75,5.2,0.4,0.75,12.55,23.75,23.75,23.75,15.4
North Carolina,Rowan,38.7,0.099,137907,4.8,17,80,20,26819.39746,74.7,15.55,6.95,0.95,0.25,11.8,26.75,22.25,22.3,16.75
North Carolina,Rutherford,41.8,0.133,65481,5.1,14.6,79.6,20.4,24103.59174,84.6,10.4,2.9,0.35,0.3,11.15,26.35,22.5,21.9,17.8
North Carolina,Sampson,37.7,0.086,63213,3.6,12.4,75.2,24.8,22903.34286,53.35,27.15,16,0.4,6.2,10.6,26.9,21.65,19.1,15.6
North Carolina,Scotland,37,0.169,36275,4.7,14,75.2,24.8,22829.62,47.55,38.2,1.75,0.6,1.1,9,29.05,17.65,24.55,18.7
North Carolina,Stanly,39.9,0.096,59860,4,15.3,80.5,19.5,27017.39746,82,11.1,3.45,1.95,0.45,14.3,28.15,16.9,21.4,18.8
North Carolina,Stokes,41.4,0.089,46658,2.9,10.9,79.2,20.8,26694.66349,91.7,4.45,2.5,0.2,0.55,15.45,22.65,21.4,25.75,14.2
North Carolina,Surry,41.2,0.101,72919,4.6,14.9,74.5,25.5,23535.23174,85.25,3.6,9.35,0.5,1.45,13.05,26.25,21.05,21.95,16.3
North Carolina,Swain,40.6,0.138,13674,7.7,18.6,79.4,20.6,25452.88222,66.25,0.7,3.3,0.6,0.7,9.25,33.45,8.95,16.85,30.8
North Carolina,Transylvania,48.4,0.096,31488,10.3,27,86.1,13.9,21026.62191,91.15,4.45,2.15,0.5,1.65,14.4,28.4,12.2,21.8,21.5
North Carolina,Tyrrell,43.6,0.097,4259,0.8,8.4,73.9,26.1,19896.55429,55,38.1,4.85,1.05,2.95,13.75,25.4,20.35,23.85,13.65
North Carolina,Union,35.6,0.082,191572,7.6,29.1,86.4,13.6,31925.4308,75.1,11.75,10,1.45,0.55,11.85,35,12.3,26.5,13.95
North Carolina,Vance,37.5,0.132,44204,3.2,10.7,72.6,27.4,23862.32349,42.8,48.95,6.5,0.6,0.6,9.6,24.8,19.4,24.2,21.4
North Carolina,Wake,34.1,0.075,864876,16,47.4,91.6,8.4,35147.96826,63.7,20.15,9.05,5,0.15,7.7,48.4,6.4,24.8,12.5
North Carolina,Warren,45.3,0.123,20258,4.1,13.9,73.1,26.9,22865.61429,38.05,52.15,3,0.7,3.95,9.05,28.2,19.2,21.9,17.75
North Carolina,Washington,43.1,0.122,13103,3.8,11.8,76,24,23237.24254,45.3,49.7,3.55,0.25,3.4,9.85,28.4,16.5,19.15,22.65
North Carolina,Watauga,28,0.083,47857,16.3,37.1,86.9,13.1,13780.88222,93.35,1.5,2.7,0.85,0.6,10.45,32.3,7.1,27.45,22.1
North Carolina,Wayne,36.5,0.089,117956,5.2,16.2,81.2,18.8,25124.19365,56.95,31.5,8.4,0.95,2.05,11.15,29.75,16.5,22.5,18.05
North Carolina,Wilkes,41.3,0.108,67951,3.7,12.3,72.6,27.4,22860.06318,88.9,4,5.3,0.55,1.05,12.7,24.9,19.15,26.7,15.5
North Carolina,Wilson,38.5,0.125,78999,4.1,17.5,77.3,22.7,25527.76667,50.25,38.6,8.95,0.7,1.35,11.6,28.5,19.35,22.35,16.75
North Carolina,Yadkin,41.1,0.089,37963,3.1,11.2,76.9,23.1,25776.37619,86.25,3.3,9.3,0.2,1.2,13.45,27.05,22.65,21.1,14.5
